country_name,x2011_AO,x2014_AO,x2017_AO,x2011_pci,x2014_pci,x2017_pci,x2011_SUBS,x2014_SUBS,x2017_SUBS,Coordinates
China,63.81731033,78.8526001,80.22911835,4002,5717,6649,986253000,1286090000,1469880000," 104.1954 ,35.8617"
India,35.23183823,53.14155197,79.87532806,1256,1365,1731,893862000,944009000,1168900000,"78.9629, 20.5937"
Indonesia,19.5819912,36.05899048,48.85745239,2682,2625,3008,249806000,325583000,435194000,"113.9213, 0.7893 "
United States,87.95786285,93.58380127,93.12218475,42636,47715,51309,297404000,355500000,400206000,"95.7129, 37.0902"
Russian Federation,48.17848969,67.38309479,75.75888824,11267,11060,8553,203752000,221030000,227300000,"105.3188, 61.5240 "
Brazil,55.86038208,68.12315369,70.04394531,10987,10194,8418,234358000,280729000,218255000,"51.9253, 14.2350"
Japan,96.42204285,96.64558411,98.24339294,38101,30689,31208,132761000,157857000,172790000,"138.2529, 36.2048"
Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487,84368700,126866000,150945000,"90.3563, 23.6850 "
Nigeria,29.66753769,44.44198608,39.66685867,1900,2646,1585,95167300,138960000,144920000,"8.6753, 9.0820"
Pakistan,10.30629635,13.03619194,21.29324532,1126,1235,1456,108895000,135762000,144526000,"69.3451, 30.3753"
Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984,2370230,2932730,2663240,"11.6094, 0.8037"
Latvia,89.65882874,90.21825409,93.22247314,10444,11887,12038,2309000,2384000,2464120,"24.6032, 56.8796"
Slovenia,97.1437149,97.24451447,97.53340149,19719,18976,18545,2168550,2326390,2443170,"14.9955, 46.1512"
Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220,1693650,2328990,2364480,"50.5577, 26.0667 "
North Macedonia,73.69894409,71.79850006,76.56877136,3922,4271,4205,2213220,2224440,2008010,"21.7453, 41.6086"
Estonia,96.82427979,97.67166901,97.99397278,13914,16523,16736,1806080,1897550,1904430,"25.0136, 58.5953"
Mauritius,80.12320709,82.20826721,89.8425293,7493,9079,9681,1294100,1652000,1839500,"57.5522, 20.3484"
Cyprus,85.23764801,90.15019989,88.71575928,29342,22744,22235,1090940,1110800,1176800,"33.4299, 35.1264"
Montenegro,50.43801498,59.82601166,68.36179352,6565,6480,6884,1159110,1013300,1044670,"19.3744, 42.7087"
Luxembourg,94.58679199,96.16869354,98.76785278,66255,65254,56294,764973,802400,794000,"6.1296, 49.8153"
