Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
0,Afghanistan,9.005012512,9.961000443,14.89331245,519,532,488,13797900,18407200,23929700,30117.411,33370.804,36296.111,0.458136989,0.55159594,0.659291019
1,Albania,28.26812553,37.98635483,40.01517105,3667,3775,3673,3100000,3359650,3625700,2928.601,2896.307,2884.169,1.058525897,1.159977171,1.257103866
2,Algeria,33.28611374,50.47578812,42.77662659,3960,4106,3248,35615900,43298200,45845700,36661.438,38923.688,41389.174,0.971481261,1.112386884,1.107673712
4,Argentina,33.13021851,50.19729614,48.70848846,10957,10434,12344,60722700,61234200,61897400,41320.497,42637.508,43937.143,1.46955396,1.436158042,1.408771617
5,Australia,99.06484222,98.85956573,99.51937103,47826,48104,41849,23789000,25060000,27463000,22538.002,23596.426,24584.619,1.055506162,1.062025241,1.117080562
6,Austria,97.08174133,96.73406219,98.16366577,42579,42430,38587,13022600,12952600,10859000,8453.501,8615.205,8819.902,1.540497836,1.50345813,1.231192818
7,Azerbaijan,14.90084934,29.15149307,28.57120323,4642,5988,3169,10120100,10552500,10127000,9146.277,9505.616,9845.316,1.106472065,1.11013321,1.028610966
8,Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220,1693650,2328990,2364480,1278.153,1336.073,1494.077,1.325076106,1.74316074,1.582569038
9,Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487,84368700,126866000,150945000,149273.134,154517.385,159685.421,0.565196816,0.821046771,0.945264753
10,Belarus,58.60198212,71.98498535,81.15588379,5403,6822,4686,10694900,11401900,11415100,9415.316,9431.742,9450.233,1.13590452,1.208885909,1.207917307
11,Belgium,96.30612946,98.12575531,98.63832092,38242,39501,36529,12495900,12734700,11961100,11013.86,11221.225,11419.752,1.134561362,1.134876094,1.047404532
12,Benin,10.46393776,16.62083435,38.48922348,950,1082,923,7765210,8660430,8773040,9460.829,10286.839,11175.192,0.820774797,0.841894191,0.78504602
14,Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823,4430,4527,4574,3171280,3491190,3440090,3661.173,3482.106,3351.534,0.866192338,1.002608766,1.026422528
