,country_name,2011_AO,2014_AO,2017_AO,2011_pci,2014_pci,2017_pci
0,Afghanistan,9.005012512,9.961000443,14.89331245,519,532,488
1,Afghanistan,9.005012512,9.961000443,14.89331245,519,532,488
2,Albania,28.26812553,37.98635483,40.01517105,3667,3775,3673
3,Albania,28.26812553,37.98635483,40.01517105,3667,3775,3673
4,Algeria,33.28611374,50.47578812,42.77662659,3960,4106,3248
5,Algeria,33.28611374,50.47578812,42.77662659,3960,4106,3248
6,Arab World,22.2605381,30.27713013,37.16521072,5389,6041,5153
7,Arab World,22.2605381,30.27713013,37.16521072,5389,6041,5153
8,Argentina,33.13021851,50.19729614,48.70848846,10957,10434,12344
9,Argentina,33.13021851,50.19729614,48.70848846,10957,10434,12344
10,Australia,99.06484222,98.85956573,99.51937103,47826,48104,41849
11,Australia,99.06484222,98.85956573,99.51937103,47826,48104,41849
12,Austria,97.08174133,96.73406219,98.16366577,42579,42430,38587
13,Austria,97.08174133,96.73406219,98.16366577,42579,42430,38587
14,Azerbaijan,14.90084934,29.15149307,28.57120323,4642,5988,3169
15,Azerbaijan,14.90084934,29.15149307,28.57120323,4642,5988,3169
16,Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220
17,Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220
18,Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487
19,Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487
20,Belarus,58.60198212,71.98498535,81.15588379,5403,6822,4686
21,Belarus,58.60198212,71.98498535,81.15588379,5403,6822,4686
22,Belgium,96.30612946,98.12575531,98.63832092,38242,39501,36529
23,Belgium,96.30612946,98.12575531,98.63832092,38242,39501,36529
24,Benin,10.46393776,16.62083435,38.48922348,950,1082,923
25,Benin,10.46393776,16.62083435,38.48922348,950,1082,923
26,Bolivia,28.02913284,41.7967186,54.40505600000001,1783,2312,2617
27,Bolivia,28.02913284,41.7967186,54.40505600000001,1783,2312,2617
28,Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823,4430,4527,4574
29,Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823,4430,4527,4574
30,Botswana,30.26001358,51.96456909,51.03245544,5860,5859,5717
31,Botswana,30.26001358,51.96456909,51.03245544,5860,5859,5717
32,Brazil,55.86038208,68.12315369,70.04394531,10987,10194,8418
33,Brazil,55.86038208,68.12315369,70.04394531,10987,10194,8418
34,Bulgaria,52.82490158,62.98682785,72.2040329,6340,6583,6913
35,Bulgaria,52.82490158,62.98682785,72.2040329,6340,6583,6913
36,Cambodia,3.659711838,22.16526604,21.67178345,739,903,1100
37,Cambodia,3.659711838,22.16526604,21.67178345,739,903,1100
38,Cameroon,14.80961323,12.17773438,34.59078979,1117,1245,1143
39,Cameroon,14.80961323,12.17773438,34.59078979,1117,1245,1143
40,Canada,95.80464172,99.10332489,99.72688293,42477,41435,36908
41,Canada,95.80464172,99.10332489,99.72688293,42477,41435,36908
42,Chad,8.959745407,12.43334484,21.75919342,730,773,495
43,Chad,8.959745407,12.43334484,21.75919342,730,773,495
44,Chile,42.17928696,63.25888062,74.34924316,10596,11188,11366
45,Chile,42.17928696,63.25888062,74.34924316,10596,11188,11366
46,China,63.81731033,78.85260009999999,80.22911835,4002,5717,6649
47,China,63.81731033,78.85260009999999,80.22911835,4002,5717,6649
48,Colombia,30.42780113,38.99901962,45.75922775,5569,6331,5045
49,Colombia,30.42780113,38.99901962,45.75922775,5569,6331,5045
50,"Congo, Dem. Rep.",3.696726322,17.47698402,25.82567596,272,306,352
51,"Congo, Dem. Rep.",3.696726322,17.47698402,25.82567596,272,306,352
52,"Congo, Rep.",10.048056599999999,17.06959724,26.09275055,352,1053,760
53,"Congo, Rep.",10.048056599999999,17.06959724,26.09275055,352,1053,760
54,Costa Rica,50.35873032,64.55306244,67.83835602,8185,9404,10564
55,Costa Rica,50.35873032,64.55306244,67.83835602,8185,9404,10564
56,Croatia,88.39102173,86.02509308,86.14345551,11665,11204,11285
57,Croatia,88.39102173,86.02509308,86.14345551,11665,11204,11285
58,Cyprus,85.23764801,90.15019989,88.71575928,29342,22744,22235
59,Cyprus,85.23764801,90.15019989,88.71575928,29342,22744,22235
60,Czech Republic,80.65119171,82.1782074,80.99226379,15359,14104,14972
61,Czech Republic,80.65119171,82.1782074,80.99226379,15359,14104,14972
62,Denmark,99.73679352,100.0,99.91737366,51290,53743,48742
63,Denmark,99.73679352,100.0,99.91737366,51290,53743,48742
64,Dominican Republic,38.20466995,54.09098816,56.23919296,5409,5929,6804
65,Dominican Republic,38.20466995,54.09098816,56.23919296,5409,5929,6804
66,Ecuador,36.73550034,46.21242523,51.24601746,3885,4870,4777
67,Ecuador,36.73550034,46.21242523,51.24601746,3885,4870,4777
68,"Egypt, Arab Rep.",9.71998024,14.12679672,32.78435898,2343,2911,2166
69,"Egypt, Arab Rep.",9.71998024,14.12679672,32.78435898,2343,2911,2166
70,El Salvador,13.76461506,36.71971129999999,30.35294724,2814,3007,3197
71,El Salvador,13.76461506,36.71971129999999,30.35294724,2814,3007,3197
72,Estonia,96.82427979,97.67166901,97.99397278,13914,16523,16736
73,Estonia,96.82427979,97.67166901,97.99397278,13914,16523,16736
74,Finland,99.65125275,100.0,99.78541565,41709,41063,37754
75,Finland,99.65125275,100.0,99.78541565,41709,41063,37754
76,France,96.98388672,96.58275604,94.00404358,37138,36186,32708
77,France,96.98388672,96.58275604,94.00404358,37138,36186,32708
78,Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984
79,Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984
80,Georgia,32.98096848,39.66506958,61.23044586,3406,4168,3666
81,Georgia,32.98096848,39.66506958,61.23044586,3406,4168,3666
82,Germany,98.13362122,98.76040649,99.14118958,39511,40301,37541
83,Germany,98.13362122,98.76040649,99.14118958,39511,40301,37541
84,Ghana,29.4253521,40.50579453,57.71752548,994,1288,1335
85,Ghana,29.4253521,40.50579453,57.71752548,994,1288,1335
86,Greece,77.93985748,87.51864624,85.46652222,20536,17990,15861
87,Greece,77.93985748,87.51864624,85.46652222,20536,17990,15861
88,Guatemala,22.3188839,41.34921646,44.10700989,2699,3113,3721
89,Guatemala,22.3188839,41.34921646,44.10700989,2699,3113,3721
90,Guinea,3.687849998,6.960017204,23.48603439,484,585,639
91,Guinea,3.687849998,6.960017204,23.48603439,484,585,639
92,Haiti,22.00726891,18.85867691,32.6211853,704,779,710
93,Haiti,22.00726891,18.85867691,32.6211853,704,779,710
94,Honduras,20.51226425,31.48635864,45.3429718,1824,1865,2136
95,Honduras,20.51226425,31.48635864,45.3429718,1824,1865,2136
96,Hungary,72.67432404,72.25682831,74.94496918,10872,11177,11504
97,Hungary,72.67432404,72.25682831,74.94496918,10872,11177,11504
98,India,35.23183823,53.14155197,79.87532806,1256,1365,1731
99,India,35.23183823,53.14155197,79.87532806,1256,1365,1731
100,Indonesia,19.581991199999997,36.05899048,48.85745239,2682,2625,3008
101,Indonesia,19.581991199999997,36.05899048,48.85745239,2682,2625,3008
102,"Iran, Islamic Rep.",73.68385315,92.28025055,93.98191833,6245,4292,4352
103,"Iran, Islamic Rep.",73.68385315,92.28025055,93.98191833,6245,4292,4352
104,Iraq,10.55374527,10.97234917,22.6651516,4712,5254,4047
