Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
0,Afghanistan,9.005012512,9.961000443,14.89331245,519,532,488,13797900,18407200,23929700,30117.411,33370.804,36296.111000000004,45.813698926511314,55.15959399719588,65.929101880915
1,Albania,28.26812553,37.98635483,40.01517105,3667,3775,3673,3100000,3359650,3625700,2928.6009999999997,2896.3070000000002,2884.1690000000003,105.85258968360662,115.9977170928358,125.71038659662452
2,Algeria,33.28611374,50.47578812,42.77662659,3960,4106,3248,35615900,43298200,45845700,36661.437999999995,38923.687999999995,41389.174,97.14812605004748,111.23868837916902,110.76737119711547
4,Argentina,33.13021851,50.19729614,48.70848846,10957,10434,12344,60722700,61234200,61897400,41320.497,42637.508,43937.143,146.9553960108466,143.615804188181,140.87716172168956
5,Australia,99.06484222,98.85956573,99.51937103,47826,48104,41849,23789000,25060000,27463000,22538.002,23596.426,24584.619,105.55061624362266,106.20252406021149,111.7080561630831
6,Austria,97.08174133,96.73406219,98.16366577,42579,42430,38587,13022600,12952600,10859000,8453.501,8615.205,8819.902,154.04978363402336,150.34581301315524,123.11928182421981
7,Azerbaijan,14.90084934,29.15149307,28.57120323,4642,5988,3169,10120100,10552500,10127000,9146.277,9505.616,9845.315999999999,110.64720650817814,111.01332096731026,102.86109658643767
8,Bahrain,64.51457214,81.93934631,82.61284637,16791,20610,20220,1693650,2328990,2364480,1278.153,1336.0729999999999,1494.0770000000002,132.5076105912203,174.31607404685226,158.25690376064955
9,Bangladesh,31.74364853,30.99081802,50.04691315,844,1085,1487,84368700,126866000,150945000,149273.134,154517.385,159685.421,56.51968156573975,82.10467708860074,94.52647527541039
10,Belarus,58.60198212,71.98498535,81.15588379,5403,6822,4686,10694900,11401900,11415100,9415.315999999999,9431.742,9450.233,113.59045198270566,120.88859088808832,120.79173074357004
11,Belgium,96.30612946,98.12575531,98.63832092,38242,39501,36529,12495900,12734700,11961100,11013.86,11221.225,11419.752,113.45613617750725,113.48760941875776,104.74045320774042
12,Benin,10.46393776,16.62083435,38.48922348,950,1082,923,7765210,8660430,8773040,9460.829,10286.839,11175.192,82.07747967963483,84.18941912087863,78.50460197909798
14,Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823,4430,4527,4574,3171280,3491190,3440090,3661.173,3482.1059999999998,3351.534,86.619233781086,100.2608766074324,102.6422527714175
15,Botswana,30.26001358,51.96456909,51.03245544,5860,5859,5717,2900260,3410510,3240590,2015.406,2088.619,2205.076,143.90450360870219,163.29019318506627,146.96046757572074
16,Brazil,55.86038208,68.12315369,70.04394531,10987,10194,8418,234358000,280729000,218255000,197514.54100000003,202763.74399999998,207833.825,118.65354257639187,138.45128052084107,105.01418621343277
17,Bulgaria,52.82490158,62.98682785,72.2040329,6340,6583,6913,10475100,9486930,8532910,7378.651999999999,7245.648,7102.451999999999,141.96495511646305,130.9328026975641,120.14034026558717
18,Cambodia,3.659711838,22.16526604,21.67178345,739,903,1100,13757000,20452000,18573000,14541.421,15274.506000000001,16009.413,94.60560972686231,133.89631062372817,116.0129981030535
19,Cameroon,14.80961323,12.17773438,34.59078979,1117,1245,1143,10486600,17039100,20135400,20906.392,22681.853,24566.07,50.15977888485015,75.12216925133939,81.964270231258
20,Canada,95.80464172,99.10332489,99.72688293,42477,41435,36908,26840000,28789000,31693000,34539.156,35664.337999999996,36732.091,77.70890522049815,80.72209275271001,86.28150246061406
21,Chad,8.959745407,12.43334484,21.75919342,730,773,495,3665660,5251560,6368600,12360.986,13663.562,15016.761,29.655077677460355,38.434780037591956,42.40994446139217
22,Chile,42.17928696,63.25888062,74.34924316,10596,11188,11366,22315200,23680700,23013100,17233.584,17758.968999999997,18470.435,129.48670456476145,133.34501569319707,124.59425021662997
23,China,63.81731033,78.85260009999998,80.22911835,4002,5717,6649,986253000,1286090000,1469880000,1376497.6330000001,1399453.966,1421021.794,71.6494512126778,91.89941443204285,103.43824466354386
24,Colombia,30.42780113,38.99901962,45.75922775,5569,6331,5045,46200400,55330300,62220000,45662.747,46967.706,48909.844000000005,101.17744339822569,117.80498711178271,127.21365457636706
27,Costa Rica,50.35873032,64.55306244,67.83835602,8185,9404,10564,4153070,7020410,8840340,4633.085999999999,4795.39,4949.955,89.63938938323184,146.39914584632322,178.59435085773507
28,Croatia,88.39102173,86.02509308,86.14345551,11665,11204,11285,5115140,4461350,4315580,4313.098,4255.518,4182.847,118.5954967867644,104.83682597512218,103.17326930676643
29,Cyprus,85.23764801,90.15019989,88.71575928,29342,22744,22235,1090940,1110800,1176800,1124.837,1152.297,1179.685,96.98649671019001,96.3987583062353,99.75544319034319
31,Denmark,99.73679352,100.0,99.91737366,51290,53743,48742,7173190,7160230,7132930,5582.98,5664.1990000000005,5732.276999999999,128.48317565171288,126.41204872922012,124.43449609989192
32,Dominican Republic,38.20466995,54.09098816,56.23919296,5409,5929,6804,8770780,8303540,8769130,9813.219000000001,10165.181999999999,10513.111,89.37719620850201,81.686092782205,83.41137081117093
33,Ecuador,36.73550034,46.21242523,51.24601746,3885,4870,4777,15332700,16605700,14651400,15243.885,15951.832,16785.356,100.58262706652536,104.09901508491313,87.2867992790859
35,El Salvador,13.76461506,36.71971129999999,30.35294724,2814,3007,3197,8316150,9193340,9478040,6210.566999999999,6295.124,6388.124,133.90323298983816,146.03906134335082,148.36969351252418
36,Estonia,96.82427979,97.67166901,97.99397278,13914,16523,16736,1806080,1897550,1904430,1327.701,1316.273,1319.389,136.03062737770023,144.16082378047713,144.34181276333211
