Country name,2011 SUBS,2014 SUBS,2017 SUBS
Afghanistan,13797900,18407200,23929700
Albania,3100000,3359650,3625700
Algeria,35615900,43298200,45845700
Andorra,65044,66241,80337
Angola,12073200,14052600,13324000
Antigua and Barbuda,176008,120041,184000
Arab World,351957917,415029269,416484296
Argentina,60722700,61234200,61897400
Armenia,3211220,3459140,3488520
Aruba,131800,139700,141000
Australia,23789000,25060000,27463000
Austria,13022600,12952600,10859000
Azerbaijan,10120100,10552500,10127000
"Bahamas, The",298790,314842,353540
Bahrain,1693650,2328990,2364480
Bangladesh,84368700,126866000,150945000
Barbados,347917,305456,329565
Belarus,10694900,11401900,11415100
Belgium,12495900,12734700,11961100
Belize,222407,172300,239441
Benin,7765210,8660430,8773040
Bermuda,88200,59491,64997
Bhutan,484189,624536,730623
Bolivia,8353270,10450300,10963200
Bosnia and Herzegovina,3171280,3491190,3440090
Botswana,2900260,3410510,3240590
Brazil,234358000,280729000,218255000
British Virgin Islands,46597,54764,60486
Brunei Darussalam,443161,452054,544732
Bulgaria,10475100,9486930,8532910
Burkina Faso,7682100,12494400,17946400
Burundi,1914590,3193260,5920610
Cabo Verde,396429,613378,612259
Cambodia,13757000,20452000,18573000
Cameroon,10486600,17039100,20135400
Canada,26840000,28789000,31693000
Caribbean small states,7534119,7952809,8225310
Cayman Islands,96777,91059,96656
Central African Republic,992444,1155620,1175390
Chad,3665660,5251560,6368600
Chile,22315200,23680700,23013100
China,986253000,1286090000,1469880000
Colombia,46200400,55330300,62220000
Comoros,216438,383000,468914
"Congo, Dem. Rep.",15644900,37103000,35375200
"Congo, Rep.",3884760,4930100,5056000
Costa Rica,4153070,7020410,8840340
Cote d'Ivoire,17344200,22104600,31747200
Croatia,5115140,4461350,4315580
Cuba,1315140,2530750,4613780
Curacao,206294,192569,187184
Cyprus,1090940,1110800,1176800
Czech Republic,13167700,13913100,12636400
Denmark,7173190,7160230,7132930
Djibouti,193049,287049,373052
Dominica,108924,73886,75230
Dominican Republic,8770780,8303540,8769130
Ecuador,15332700,16605700,14651400
"Egypt, Arab Rep.",83425100,95316000,102958000
El Salvador,8316150,9193340,9478040
Equatorial Guinea,478860,516540,566113
Eritrea,241939,417400,695000
Estonia,1806080,1897550,1904430
Eswatini,766540,916800,1052000
Ethiopia,14126700,30490000,39600000
Euro area,402586501,407193679,416260929
European Union,535242031,546079589,544201989
Faroe Islands,58475,58282,56293
Fiji,727000,876176,1033920
Finland,8940000,7602600,7310000
France,59816000,65425000,69018000
French Polynesia,222827,255123,287839
Gabon,2370230,2932730,2663240
"Gambia, The",1401160,2283690,2966000
Georgia,4430340,5400770,5502400
Germany,90900000,99530000,109736000
Ghana,21165800,30360800,36751800
Gibraltar,32500,38000,41035
Greece,12128000,12144600,12937100
Greenland,58742,60800,62232
Grenada,120855,117151,113177
Guatemala,19479100,16911800,19986500
Guinea,4860590,8683500,11700000
Guinea-Bissau,732634,1108300,1434820
Guyana,528757,566905,643210
Haiti,4200000,6769310,6305860
Honduras,8062230,7725090,8233500
"Hong Kong SAR, China",15292900,16959500,18394800
Hungary,11689900,11726500,9945040
Iceland,344085,370047,410662
India,893862000,944009000,1168900000
Indonesia,249806000,325583000,435194000
"Iran, Islamic Rep.",56043000,68891200,87047000
Iraq,25519000,33000000,33415700
Ireland,4906350,4912620,4898870
Israel,9200000,9500000,10540000
Italy,96040900,89914600,83871500
Jamaica,2945400,3005490,3091220
Japan,132761000,157857000,172790000
Jordan,7482560,11092400,9703290
Kazakhstan,25240800,28595600,26693300
Kenya,28080800,33632600,42815100
Kiribati,13788,30000,46123
"Korea, Dem. People’s Rep.",1000000,2800000,3810000
"Korea, Rep.",52506800,57290400,63658700
Kuwait,4934160,7600000,7138830
Kyrgyz Republic,6277110,7563440,7369930
Lao PDR,5480850,4618590,3711810
Latvia,2309000,2384000,2464120
Least developed countries: UN classification,361458188,579127042,674668372
Lebanon,3456650,4387280,4399090
Lesotho,1232350,2138790,2380800
Liberia,2020640,3225260,2660000
Libya,10000000,8497080,6020000
Liechtenstein,36970,40652,46402
Lithuania,4938000,4267590,4361330
Low & middle income,4549527560,5536484681,6223882944
Low income,193874457,311650820,344742020
Lower middle income,1913204550,2237210243,2580511425
Luxembourg,764973,802400,794000
"Macao SAR, China",1353190,1856450,2047000
Madagascar,8680770,9713880,8730500
Malawi,3951570,5632510,7772500
Malaysia,36661300,44928600,42338500
Maldives,530449,665818,900120
Mali,10821900,23505600,22034100
Malta,521748,546229,604759
Mauritania,3314770,3753330,4074160
Mauritius,1294100,1652000,1839500
Mexico,94583300,104948000,114329000
"Micronesia, Fed. Sts.",27600,31393,23114
Middle East & North Africa,387335257,456533768,474369881
Middle East & North Africa (excluding high income),298146819,357504559,382752142
Middle East & North Africa (IDA & IBRD countries),295261859,354307009,378755932
Middle income,4355653103,5224833861,5879140924
Moldova,3217260,3738130,3662970
Monaco,31789,33675,32978
Mongolia,2942310,3027240,3886170
Montenegro,1159110,1013300,1044670
Morocco,36553900,44114500,43916100
Mozambique,7855350,18482600,11875500
Myanmar,1243620,29029300,47946700
Namibia,2194500,2670980,2680200
Nauru,6700,6800,10000
Nepal,13354500,23021300,36096400
Netherlands,19829300,19562000,20532000
New Caledonia,227310,243100,260277
New Zealand,4820000,5100000,6400000
Nicaragua,4823530,7067860,8179880
Niger,4742880,8236400,8778880
Nigeria,95167300,138960000,144920000
North America,324332200,384348491,431963997
North Macedonia,2213220,2224440,2008010
Norway,5725450,5737960,5719670
OECD members,1363674938,1498216787,1593656672
Oman,4809250,6194170,6943910
Other small states,25443440,32922097,35883189
Pacific island small states,1349491,1690054,2086396
Pakistan,108895000,135762000,144526000
Palau,15445,19114,23743
Panama,6735430,6906090,5280200
Papua New Guinea,2400000,3358900,4018000
Paraguay,6529050,7305280,7468280
Peru,32461400,31880000,38915400
Philippines,94189800,111326000,115825000
Poland,50160200,56905300,50458900
Portugal,12334600,11895600,11764100
Post-demographic dividend,1172379686,1280455566,1356473824
Pre-demographic dividend,387321776,559471040,621562087
Puerto Rico,3108370,3208820,3389400
Qatar,2302230,3305820,3988560
Romania,23420000,22920000,22400000
Russian Federation,203752000,221030000,227300000
Rwanda,4446190,7747020,8819220
Samoa,90000,106524,124211
San Marino,35465,37600,38000
Sao Tome and Principe,115038,128500,173963
Saudi Arabia,54000000,52735000,40211000
Senegal,9352870,14379700,15758400
Serbia,10182000,9344980,8621770
Seychelles,126594,151336,167282
Sierra Leone,2137000,4756800,6625000
Singapore,7794300,8103800,8381900
Slovak Republic,5983060,6378100,7117750
Slovenia,2168550,2326390,2443170
Small states,34327050,42564960,46194895
Solomon Islands,274872,376696,465331
Somalia,1800000,5500000,7119000
South Africa,64000000,79280700,88497600
South Asia,1133612138,1271478854,1554226943
South Asia (IDA & IBRD),1133612138,1271478854,1554226943
South Sudan,1800000,2876100,2788930
Spain,52590500,50806300,52506900
Sri Lanka,18319400,22123000,28199100
St. Kitts and Nevis,77000,65000,76878
St. Lucia,216530,188351,176694
St. Vincent and the Grenadines,131809,115017,115844
Sub-Saharan Africa,471725456,680980334,765230621
Sub-Saharan Africa (excluding high income),470304762,679176998,763223839
Sub-Saharan Africa (IDA & IBRD countries),471725456,680980334,765230621
Sudan,25056200,27796600,28644100
Suriname,533522,927800,795871
Sweden,11454300,12312500,12519300
Switzerland,10082600,11150000,11088600
Syrian Arab Republic,12917000,14039700,15386000
Tajikistan,6324000,7999100,9904000
Tanzania,25666500,31862700,39953900
Thailand,77449000,97096000,121530000
Timor-Leste,614151,1375750,1556620
Togo,2695340,4516110,6069910
Tonga,55000,68000,107938
Trinidad and Tobago,1826200,1980570,2030640
Tunisia,12387700,14283600,14334100
Turkey,65321700,71888400,77800200
Turkmenistan,5300000,7206100,9377000
Tuvalu,2130,3800,8000
Uganda,16697000,20365900,24948900
Ukraine,55576500,61170200,55714700
United Arab Emirates,11727400,16819000,19826200
United Kingdom,77162300,78460700,79152800
United States,297404000,355500000,400206000
Upper middle income,2442448553,2987623618,3298629499
Uruguay,4757430,5497090,5097570
Uzbekistan,25441800,21639200,24265500
Vanuatu,136956,156051,228016
"Venezuela, RB",28782000,30528000,25090400
Vietnam,127318000,136148000,120016000
West Bank and Gaza,2884960,3197550,3996210
World,5890569241,6999953386,7750613241
"Yemen, Rep.",11668000,17100000,15357900
Zambia,8164550,10114900,13438500
Zimbabwe,9200000,11798700,14092100
