country_name,2011_AO,2014_AO,2017_AO
Afghanistan,9.005012512,9.961000443,14.89331245
Albania,28.26812553,37.98635483,40.01517105
Algeria,33.28611374,50.47578812,42.77662659
Arab World,22.2605381,30.27713013,37.16521072
Argentina,33.13021851,50.19729614,48.70848846
Armenia,17.48687363,17.66906548,47.75901794
Australia,99.06484222,98.85956573,99.51937103
Austria,97.08174133,96.73406219,98.16366577
Azerbaijan,14.90084934,29.15149307,28.57120323
Bahrain,64.51457214,81.93934631,82.61284637
Bangladesh,31.74364853,30.99081802,50.04691315
Belarus,58.60198212,71.98498535,81.15588379
Belgium,96.30612946,98.12575531,98.63832092
Benin,10.46393776,16.62083435,38.48922348
Bolivia,28.02913284,41.7967186,54.405056
Bosnia and Herzegovina,56.21160889,52.68502808,58.84349823
Botswana,30.26001358,51.96456909,51.03245544
Brazil,55.86038208,68.12315369,70.04394531
Bulgaria,52.82490158,62.98682785,72.2040329
Burkina Faso,13.35309124,14.3575964,43.15999222
Cambodia,3.659711838,22.16526604,21.67178345
Cameroon,14.80961323,12.17773438,34.59078979
Canada,95.80464172,99.10332489,99.72688293
Chad,8.959745407,12.43334484,21.75919342
Chile,42.17928696,63.25888062,74.34924316
China,63.81731033,78.8526001,80.22911835
Colombia,30.42780113,38.99901962,45.75922775
"Congo, Dem. Rep.",3.696726322,17.47698402,25.82567596
"Congo, Rep.",10.0480566,17.06959724,26.09275055
Costa Rica,50.35873032,64.55306244,67.83835602
Croatia,88.39102173,86.02509308,86.14345551
Cyprus,85.23764801,90.15019989,88.71575928
Czech Republic,80.65119171,82.1782074,80.99226379
Denmark,99.73679352,100,99.91737366
Dominican Republic,38.20466995,54.09098816,56.23919296
Ecuador,36.73550034,46.21242523,51.24601746
"Egypt, Arab Rep.",9.71998024,14.12679672,32.78435898
El Salvador,13.76461506,36.7197113,30.35294724
Estonia,96.82427979,97.67166901,97.99397278
Finland,99.65125275,100,99.78541565
France,96.98388672,96.58275604,94.00404358
Gabon,18.94651794,33.01418304,58.60199738
Georgia,32.98096848,39.66506958,61.23044586
Germany,98.13362122,98.76040649,99.14118958
Ghana,29.4253521,40.50579453,57.71752548
Greece,77.93985748,87.51864624,85.46652222
Guatemala,22.3188839,41.34921646,44.10700989
Guinea,3.687849998,6.960017204,23.48603439
Haiti,22.00726891,18.85867691,32.6211853
Honduras,20.51226425,31.48635864,45.3429718
"Hong Kong SAR, China",88.68603516,96.14763641,95.28325653
Hungary,72.67432404,72.25682831,74.94496918
India,35.23183823,53.14155197,79.87532806
Indonesia,19.5819912,36.05899048,48.85745239
"Iran, Islamic Rep.",73.68385315,92.28025055,93.98191833
Iraq,10.55374527,10.97234917,22.6651516
Ireland,93.88835144,94.71014404,95.3404541
Israel,90.46863556,89.95277405,92.81496429
Italy,71.00852966,87.33457947,93.78501892
Japan,96.42204285,96.64558411,98.24339294
Jordan,25.47109795,24.61591148,42.49302292
Kazakhstan,42.10509491,53.9074173,58.69753265
Kenya,42.34345627,74.65783691,81.56756592
"Korea, Rep.",93.04686737,94.36081696,94.85101318
Kuwait,86.77324677,72.90818024,79.84015656
Kyrgyz Republic,3.757264376,18.47060204,39.94200134
Latvia,89.65882874,90.21825409,93.22247314
Lebanon,37.02732468,46.92713547,44.75142288
Lithuania,73.75519562,77.90628815,82.8838501
Luxembourg,94.58679199,96.16869354,98.76785278
Madagascar,5.523222923,8.551339149,17.86787033
Malawi,16.54061127,18.09241867,33.71393204
Malaysia,66.17381287,80.67462158,85.34375
Mali,8.213852882,20.07604027,35.41667938
Malta,95.27007294,96.3279953,97.36291504
Mauritania,17.46181488,22.86588287,20.8725071
Mauritius,80.12320709,82.20826721,89.8425293
Mexico,27.42938423,39.14084625,36.9319191
Moldova,18.06632042,17.75574684,43.78565216
Mongolia,77.71708679,91.82178497,92.97116852
Montenegro,50.43801498,59.82601166,68.36179352
Nepal,25.30855751,33.80134964,45.38557434
Netherlands,98.65853119,99.29560089,99.63761902
New Zealand,99.43672943,99.52553558,99.17844391
Nicaragua,14.21833229,19.43848419,30.86199188
Niger,1.521698713,6.706587791,15.52324486
Nigeria,29.66753769,44.44198608,39.66685867
North America,88.76815033,94.15715027,93.8115387
North Macedonia,73.69894409,71.79850006,76.56877136
Pakistan,10.30629635,13.03619194,21.29324532
Panama,24.9264946,43.66213989,46.49425888
Peru,20.45868492,28.97523308,42.60317993
Philippines,26.55592537,31.28583527,34.49840927
Poland,70.19429016,77.86217499,86.73330688
