country_name,x2011_pci,2014_pci,2017_pci
Afghanistan,519,532,488
Albania,3667,3775,3673
Algeria,3960,4106,3248
Angola,1500,2398,1756
Arab World,5389,6041,5153
Argentina,10957,10434,12344
Aruba,19982,22913,24400
Australia,47826,48104,41849
Austria,42579,42430,38587
Azerbaijan,4642,5988,3169
Bahrain,16791,20610,20220
Bangladesh,844,1085,1487
Barbados,13630,14145,14906
Belarus,5403,6822,4686
Belgium,38242,39501,36529
Belize,3147,3495,3704
Benin,950,1082,923
Bhutan,2127,2207,2677
Bolivia,1783,2312,2617
Bosnia and Herzegovina,4430,4527,4574
Botswana,5860,5859,5717
Brazil,10987,10194,8418
Brunei Darussalam,31823,32026,24626
Bulgaria,6340,6583,6913
Burundi,154,191,207
Cabo Verde,2884,2691,2528
Cambodia,739,903,1100
Cameroon,1117,1245,1143
Canada,42477,41435,36908
Caribbean small states,7479,8257,7835
Central African Republic,486,345,398
Chad,730,773,495
Chile,10596,11188,11366
China,4002,5717,6649
Colombia,5569,6331,5045
Comoros,1311,1364,1194
"Congo, Dem. Rep.",272,306,352
"Congo, Rep.",352,1053,760
Costa Rica,8185,9404,10564
Croatia,11665,11204,11285
Cyprus,29342,22744,22235
Czech Republic,15359,14104,14972
Denmark,51290,53743,48742
Djibouti,1280,2231,2615
Dominica,5738,5812,5276
Dominican Republic,5409,5929,6804
Ecuador,3885,4870,4777
"Egypt, Arab Rep.",2343,2911,2166
El Salvador,2814,3007,3197
Equatorial Guinea,4311,5675,4074
Estonia,13914,16523,16736
Eswatini,3849,3475,3133
Ethiopia,264,423,547
Euro area,33701,32979,30723
European Union,29583,29161,27339
Fiji,3702,4757,5092
Finland,41709,41063,37754
France,37138,36186,32708
Gabon,5196,6226,4984
Georgia,3406,4168,3666
Germany,39511,40301,37541
Ghana,994,1288,1335
Greece,20536,17990,15861
Guatemala,2699,3113,3721
Guinea,484,585,639
Guinea-Bissau,609,532,625
Guyana,2893,3597,3761
Haiti,704,779,710
Honduras,1824,1865,2136
Hungary,10872,11177,11504
Iceland,32111,43246,58220
India,1256,1365,1731
Indonesia,2682,2625,3008
"Iran, Islamic Rep.",6245,4292,4352
Iraq,4712,5254,4047
Ireland,34795,38596,38452
Israel,28661,32443,34855
Italy,31632,29022,26892
Jamaica,4511,4336,4531
Japan,38101,30689,31208
Jordan,3460,3725,3798
Kazakhstan,7106,8826,6544
Kenya,821,1082,1277
Kiribati,2255,2935,2988
"Korea, Rep.",20497,23656,25684
Kuwait,41128,38971,29362
Kyrgyz Republic,805,948,935
Lao PDR,948,1472,1759
Latvia,10444,11887,12038
Lebanon,6282,6222,6268
Lesotho,1390,1180,1057
Liberia,443,483,445
Libya,4826,5688,5052
Lithuania,12010,14162,14112
Luxembourg,66255,65254,56294
Madagascar,453,441,436
Malawi,425,279,268
Malaysia,7881,8431,7628
Maldives,5626,6650,7582
Mali,661,691,664
Mauritania,1424,1249,1260
Mauritius,7493,9079,9681
Mexico,7876,8544,7251
Middle East & North Africa,6617,6898,6210
Middle income,3513,4050,4135
Moldova,2930,3303,3279
Mongolia,2529,2974,2132
Montenegro,6565,6480,6884
Morocco,2647,2734,2631
Mozambique,517,603,401
Myanmar,1120,1119,1171
Namibia,4849,4767,4528
Nepal,642,691,816
Netherlands,45259,43355,40898
New Zealand,30788,36233,34385
Nicaragua,1403,1633,1837
Niger,453,477,439
Nigeria,1900,2646,1585
North America,42631,47097,49866
North Macedonia,3922,4271,4205
Norway,77285,78135,61916
OECD members,30984,31700,31158
Oman,9508,10632,9922
Other small states,10092,11597,10665
Pacific island small states,2855,3462,3628
Pakistan,1126,1235,1456
Panama,8352,10967,13189
Papua New Guinea,1583,2300,2093
Paraguay,4248,4834,4490
Peru,4671,5571,5389
Philippines,2374,2944,3157
Poland,11860,12169,11642
Portugal,18707,17752,17264
Post-demographic dividend,35179,36014,35835
Pre-demographic dividend,1129,1421,1076
Qatar,50936,58399,47808
Romania,7149,8056,8556
Russian Federation,11267,11060,8553
Rwanda,545,590,595
Samoa,3342,3359,3656
Sao Tome and Principe,873,1180,1219
Saudi Arabia,18570,19451,17074
Senegal,1198,1211,1148
Serbia,5564,5297,4863
Seychelles,9372,12020,12684
Sierra Leone,375,572,401
Singapore,45068,47718,47737
Slovak Republic,14071,14602,13737
Slovenia,19719,18976,18545
Small states,9127,10462,9716
Solomon Islands,762,1273,1386
South Africa,6382,5168,4957
South Asia,1204,1326,1663
South Asia,1204,1326,1663
Spain,26176,24651,23805
Sri Lanka,2960,3451,3670
St. Lucia,7630,7942,9048
St. Vincent and the Grenadines,5317,5560,6224
Sub-Saharan Africa,1269,1443,1189
Sudan,1278,1746,2480
Suriname,4558,6636,3002
Sweden,51553,50801,45490
Switzerland,71179,68814,64630
Tajikistan,896,1186,870
Tanzania,678,874,818
Thailand,4363,4492,5084
Togo,448,461,456
Tonga,3834,4046,3910
Trinidad and Tobago,12346,14978,13570
Tunisia,3191,3305,2736
Turkey,9573,10203,8711
Uganda,635,621,496
Ukraine,2909,2632,2236
United Kingdom,35731,39477,33877
United States,42636,47715,51309
Upper middle income,5523,6412,6515
Uruguay,12882,14394,14467
Uzbekistan,1581,2205,1643
Vanuatu,2836,2818,2756
Vietnam,1254,1693,1937
World,8507,8967,8865
"Yemen, Rep.",1027,1418,842
Zambia,1140,1321,1104
Zimbabwe,793,1134,1233
