Series Name,Country Name,2011,2014,2017
Mobile cellular subscriptions,Tuvalu,2130,3800,8000
Mobile cellular subscriptions,Nauru,6700,6800,10000
Mobile cellular subscriptions,Kiribati,13788,30000,46123
Mobile cellular subscriptions,Palau,15445,19114,23743
Mobile cellular subscriptions,"Micronesia, Fed. Sts.",27600,31393,23114
Mobile cellular subscriptions,Monaco,31789,33675,32978
Mobile cellular subscriptions,Gibraltar,32500,38000,41035
Mobile cellular subscriptions,San Marino,35465,37600,38000
Mobile cellular subscriptions,Liechtenstein,36970,40652,46402
Mobile cellular subscriptions,British Virgin Islands,46597,54764,60486
Mobile cellular subscriptions,Tonga,55000,68000,107938
Mobile cellular subscriptions,Faroe Islands,58475,58282,56293
Mobile cellular subscriptions,Greenland,58742,60800,62232
Mobile cellular subscriptions,Andorra,65044,66241,80337
Mobile cellular subscriptions,St. Kitts and Nevis,77000,65000,76878
Mobile cellular subscriptions,Bermuda,88200,59491,64997
Mobile cellular subscriptions,Samoa,90000,106524,124211
Mobile cellular subscriptions,Cayman Islands,96777,91059,96656
Mobile cellular subscriptions,Dominica,108924,73886,75230
Mobile cellular subscriptions,Sao Tome and Principe,115038,128500,173963
Mobile cellular subscriptions,Grenada,120855,117151,113177
Mobile cellular subscriptions,Seychelles,126594,151336,167282
Mobile cellular subscriptions,Aruba,131800,139700,141000
Mobile cellular subscriptions,St. Vincent and the Grenadines,131809,115017,115844
Mobile cellular subscriptions,Vanuatu,136956,156051,228016
Mobile cellular subscriptions,Antigua and Barbuda,176008,120041,184000
Mobile cellular subscriptions,Djibouti,193049,287049,373052
Mobile cellular subscriptions,Curacao,206294,192569,187184
Mobile cellular subscriptions,Comoros,216438,383000,468914
Mobile cellular subscriptions,St. Lucia,216530,188351,176694
Mobile cellular subscriptions,Belize,222407,172300,239441
Mobile cellular subscriptions,French Polynesia,222827,255123,287839
Mobile cellular subscriptions,New Caledonia,227310,243100,260277
Mobile cellular subscriptions,Eritrea,241939,417400,695000
Mobile cellular subscriptions,Solomon Islands,274872,376696,465331
Mobile cellular subscriptions,"Bahamas, The",298790,314842,353540
Mobile cellular subscriptions,Iceland,344085,370047,410662
Mobile cellular subscriptions,Barbados,347917,305456,329565
Mobile cellular subscriptions,Cabo Verde,396429,613378,612259
Mobile cellular subscriptions,Brunei Darussalam,443161,452054,544732
Mobile cellular subscriptions,Equatorial Guinea,478860,516540,566113
Mobile cellular subscriptions,Bhutan,484189,624536,730623
Mobile cellular subscriptions,Malta,521748,546229,604759
Mobile cellular subscriptions,Guyana,528757,566905,643210
Mobile cellular subscriptions,Maldives,530449,665818,900120
Mobile cellular subscriptions,Suriname,533522,927800,795871
Mobile cellular subscriptions,Timor-Leste,614151,1375750,1556620
Mobile cellular subscriptions,Fiji,727000,876176,1033920
Mobile cellular subscriptions,Guinea-Bissau,732634,1108300,1434820
Mobile cellular subscriptions,Luxembourg,764973,802400,794000
Mobile cellular subscriptions,Eswatini,766540,916800,1052000
Mobile cellular subscriptions,Central African Republic,992444,1155620,1175390
Mobile cellular subscriptions,"Korea, Dem. People’s Rep.",1000000,2800000,3810000
Mobile cellular subscriptions,Cyprus,1090940,1110800,1176800
Mobile cellular subscriptions,Montenegro,1159110,1013300,1044670
Mobile cellular subscriptions,Lesotho,1232350,2138790,2380800
Mobile cellular subscriptions,Myanmar,1243620,29029300,47946700
Mobile cellular subscriptions,Mauritius,1294100,1652000,1839500
Mobile cellular subscriptions,Cuba,1315140,2530750,4613780
Mobile cellular subscriptions,Pacific island small states,1349491,1690054,2086396
Mobile cellular subscriptions,"Macao SAR, China",1353190,1856450,2047000
Mobile cellular subscriptions,"Gambia, The",1401160,2283690,2966000
Mobile cellular subscriptions,Bahrain,1693650,2328990,2364480
Mobile cellular subscriptions,Somalia,1800000,5500000,7119000
Mobile cellular subscriptions,South Sudan,1800000,2876100,2788930
Mobile cellular subscriptions,Estonia,1806080,1897550,1904430
Mobile cellular subscriptions,Trinidad and Tobago,1826200,1980570,2030640
Mobile cellular subscriptions,Burundi,1914590,3193260,5920610
Mobile cellular subscriptions,Liberia,2020640,3225260,2660000
Mobile cellular subscriptions,Sierra Leone,2137000,4756800,6625000
Mobile cellular subscriptions,Slovenia,2168550,2326390,2443170
Mobile cellular subscriptions,Namibia,2194500,2670980,2680200
Mobile cellular subscriptions,North Macedonia,2213220,2224440,2008010
Mobile cellular subscriptions,Qatar,2302230,3305820,3988560
Mobile cellular subscriptions,Latvia,2309000,2384000,2464120
Mobile cellular subscriptions,Gabon,2370230,2932730,2663240
Mobile cellular subscriptions,Papua New Guinea,2400000,3358900,4018000
Mobile cellular subscriptions,Togo,2695340,4516110,6069910
Mobile cellular subscriptions,West Bank and Gaza,2884960,3197550,3996210
Mobile cellular subscriptions,Botswana,2900260,3410510,3240590
Mobile cellular subscriptions,Mongolia,2942310,3027240,3886170
Mobile cellular subscriptions,Jamaica,2945400,3005490,3091220
